Date,Open,High,Low,Close,Adj Close,Volume,Returns
2020-01-03,74.2875,75.145,74.125,74.3575,72.251144,146322800.0,-0.009721875
2020-01-06,73.4475,74.99,73.1875,74.95,72.82686,118387200.0,0.007968235
2020-01-07,74.96,75.225,74.37,74.5975,72.484344,108872000.0,-0.004703128
2020-01-08,74.29,76.11,74.29,75.7975,73.650345,132079200.0,0.016086238
2020-01-09,76.81,77.6075,76.55,77.4075,75.21473,170108400.0,0.021240694
2020-01-10,77.65,78.1675,77.0625,77.5825,75.384766,140644800.0,0.0022606784
2020-01-13,77.91,79.2675,77.7875,79.24,76.99532,121532000.0,0.021364497
2020-01-14,79.175,79.3925,78.0425,78.17,75.95563,161954400.0,-0.013503362
2020-01-15,77.9625,78.875,77.3875,77.835,75.63013,121923600.0,-0.004285403
2020-01-16,78.3975,78.925,78.0225,78.81,76.57751,108829200.0,0.012526491
2020-01-17,79.0675,79.685,78.75,79.6825,77.42529,137816400.0,0.011070953
2020-01-21,79.2975,79.755,79.0,79.1425,76.9006,110843200.0,-0.0067768083
2020-01-22,79.645,79.9975,79.3275,79.425,77.17508,101832400.0,0.0035693184
2020-01-23,79.48,79.89,78.9125,79.8075,77.54676,104472000.0,0.004816078
2020-01-24,80.0625,80.8325,79.38,79.5775,77.32327,146537600.0,-0.0028819754
2020-01-27,77.515,77.9425,76.22,77.2375,75.04956,161940000.0,-0.029405275
2020-01-28,78.15,79.6,78.0475,79.4225,77.17267,162234000.0,0.028289411
2020-01-29,81.1125,81.9625,80.345,81.085,78.78808,216229200.0,0.020932408
2020-01-30,80.135,81.0225,79.6875,80.9675,78.6739,126743200.0,-0.0014492233
2020-01-31,80.2325,80.67,77.0725,77.3775,75.185585,199588400.0,-0.04433887
2020-02-03,76.075,78.3725,75.555,77.165,74.97912,173788400.0,-0.0027460938
2020-02-04,78.8275,79.91,78.4075,79.7125,77.45445,136616400.0,0.033013646
2020-02-05,80.88,81.19,79.7375,80.3625,78.08603,118826800.0,0.008154167
2020-02-06,80.6425,81.305,80.065,81.3025,78.99941,105425600.0,0.011697143
2020-02-07,80.5925,80.85,79.5,80.0075,77.9256,117684000.0,-0.013592688
2020-02-10,78.545,80.3875,78.4625,80.3875,78.29569,109348800.0,0.004749329
2020-02-11,80.9,80.975,79.6775,79.9025,77.82333,94323200.0,-0.0060330103
2020-02-12,80.3675,81.805,80.3675,81.8,79.67147,113730400.0,0.02374785
2020-02-13,81.0475,81.555,80.8375,81.2175,79.10412,94747600.0,-0.0071211476
2020-02-14,81.185,81.495,80.7125,81.2375,79.123604,80113600.0,0.0002463269
2020-02-18,78.84,79.9375,78.6525,79.75,77.67479,152531200.0,-0.018310774
2020-02-19,80.0,81.1425,80.0,80.905,78.79975,93984000.0,0.014482972
2020-02-20,80.6575,81.1625,79.5525,80.075,77.99134,100566000.0,-0.010259051
2020-02-21,79.655,80.1125,77.625,78.2625,76.226,129554000.0,-0.022635112
2020-02-24,74.315,76.045,72.3075,74.545,72.60524,222195200.0,-0.047500305
2020-02-25,75.2375,75.6325,71.5325,72.02,70.145935,230673600.0,-0.033872277
2020-02-26,71.6325,74.47,71.625,73.1625,71.25871,198054800.0,0.015863752
2020-02-27,70.275,71.5,68.24,68.38,66.60065,320605600.0,-0.06536837
2020-02-28,64.315,69.6025,64.0925,68.34,66.5617,426510000.0,-0.00058480003
2020-03-02,70.57,75.36,69.43,74.7025,72.75864,341397200.0,0.09310065
2020-03-03,75.9175,76.0,71.45,72.33,70.447876,319475600.0,-0.031759262
2020-03-04,74.11,75.85,73.2825,75.685,73.715576,219178400.0,0.04638465
2020-03-05,73.88,74.8875,72.8525,73.23,71.324455,187572800.0,-0.03243712
2020-03-06,70.5,72.705,70.3075,72.2575,70.37726,226176800.0,-0.013280115
2020-03-09,65.9375,69.5225,65.75,66.5425,64.810974,286744800.0,-0.079092085
2020-03-10,69.285,71.61,67.3425,71.335,69.478775,285290000.0,0.07202177
2020-03-11,69.3475,70.305,67.965,68.8575,67.06572,255598800.0,-0.03473083
2020-03-12,63.985,67.5,62.0,62.0575,60.442677,418474000.0,-0.098754525
2020-03-13,66.2225,69.98,63.2375,69.4925,67.684204,370732000.0,0.11980819
2020-03-16,60.4875,64.77,60.0,60.5525,58.976845,322423600.0,-0.12864685
2020-03-17,61.8775,64.4025,59.6,63.215,61.570057,324056000.0,0.043970004
2020-03-18,59.9425,62.5,59.28,61.6675,60.062824,300233600.0,-0.024479963
2020-03-19,61.8475,63.21,60.6525,61.195,59.602623,271857200.0,-0.0076619983
2020-03-20,61.795,62.9575,57.0,57.31,55.818714,401693200.0,-0.06348561
2020-03-23,57.02,57.125,53.1525,56.0925,54.632896,336752800.0,-0.021244088
2020-03-24,59.09,61.9225,58.575,61.72,60.113956,287531200.0,0.10032527
2020-03-25,62.6875,64.5625,61.075,61.38,59.782803,303602000.0,-0.0055087684
2020-03-26,61.63,64.67,61.59,64.61,62.928764,252087200.0,0.05262319
2020-03-27,63.1875,63.9675,61.7625,61.935,60.32336,204216800.0,-0.041402433
2020-03-30,62.685,63.88,62.35,63.7025,62.04487,167976400.0,0.028538
2020-03-31,63.9,65.6225,63.0,63.5725,61.91825,197002000.0,-0.0020407399
2020-04-01,61.625,62.18,59.7825,60.2275,58.660294,176218400.0,-0.052617077
2020-04-02,60.085,61.2875,59.225,61.2325,59.639137,165934000.0,0.016686648
2020-04-03,60.7,61.425,59.7425,60.3525,58.78205,129880000.0,-0.014371203
2020-04-06,62.725,65.7775,62.345,65.6175,63.910027,201820400.0,0.0872371
2020-04-07,67.7,67.925,64.75,64.8575,63.169823,202887200.0,-0.011581968
2020-04-08,65.685,66.8425,65.3075,66.5175,64.78663,168895200.0,0.025594596
2020-04-09,67.175,67.5175,66.175,66.9975,65.25413,161834800.0,0.0072159762
2020-04-13,67.0775,68.425,66.4575,68.3125,66.53491,131022800.0,0.019627642
2020-04-14,70.0,72.0625,69.5125,71.7625,69.89514,194994800.0,0.050503254
2020-04-15,70.6,71.5825,70.1575,71.1075,69.25719,131154400.0,-0.009127311
2020-04-16,71.845,72.05,70.5875,71.6725,69.80747,157125200.0,0.007945534
2020-04-17,71.1725,71.7375,69.215,70.7,68.8603,215250000.0,-0.013568376
2020-04-20,69.4875,70.42,69.2125,69.2325,67.430984,130015200.0,-0.020756716
2020-04-21,69.07,69.3125,66.3575,67.0925,65.34666,180991600.0,-0.030910533
2020-04-22,68.4025,69.475,68.05,69.025,67.228874,116862400.0,0.028803576
2020-04-23,68.9675,70.4375,68.7175,68.7575,66.96833,124814400.0,-0.0038754751
2020-04-24,69.3,70.7525,69.25,70.7425,68.90169,126161200.0,0.028869724
2020-04-27,70.45,71.135,69.9875,70.7925,68.950386,117087600.0,0.00070678134
2020-04-28,71.27,71.4575,69.55,69.645,67.83274,112004800.0,-0.016209412
2020-04-29,71.1825,72.4175,70.9725,71.9325,70.06071,137280800.0,0.032844998
2020-04-30,72.49,73.6325,72.0875,73.45,71.53874,183064000.0,0.02109649
2020-05-01,71.5625,74.75,71.4625,72.2675,70.387,240616800.0,-0.016099542
2020-05-04,72.2925,73.4225,71.58,73.29,71.38289,133568000.0,0.014148746
2020-05-05,73.765,75.25,73.615,74.39,72.45427,147751200.0,0.015008927
2020-05-06,75.115,75.81,74.7175,75.1575,73.201805,142333600.0,0.010317345
2020-05-07,75.805,76.2925,75.4925,75.935,73.95907,115215200.0,0.01034487
2020-05-08,76.41,77.5875,76.0725,77.5325,75.71941,133838400.0,0.023801617
2020-05-11,77.025,79.2625,76.81,78.7525,76.9109,145946400.0,0.015735496
2020-05-12,79.4575,79.9225,77.7275,77.8525,76.03193,162301200.0,-0.011428384
2020-05-13,78.0375,78.9875,75.8025,76.9125,75.113914,200622400.0,-0.012074066
2020-05-14,76.1275,77.4475,75.3825,77.385,75.57536,158929200.0,0.006143318
2020-05-15,75.0875,76.975,75.0525,76.9275,75.128555,166348400.0,-0.0059120837
